_start,_end,_type,link,status,start_date,end_date,sourceID
218147,33771,intermediary_of,intermediary of,,,,Panama Papers
219142,33893,intermediary_of,intermediary of,,,,Panama Papers
224246,33878,intermediary_of,intermediary of,,,,Panama Papers
219111,33922,intermediary_of,intermediary of,,,,Panama Papers
219781,33908,intermediary_of,intermediary of,,,,Panama Papers
214494,32100,intermediary_of,intermediary of,,,,Panama Papers
216156,32031,intermediary_of,intermediary of,,,,Panama Papers
216319,31566,intermediary_of,intermediary of,,,,Panama Papers
216156,32396,intermediary_of,intermediary of,,,,Panama Papers
217409,32395,intermediary_of,intermediary of,,,,Panama Papers
214494,33412,intermediary_of,intermediary of,,,,Panama Papers
219111,33269,intermediary_of,intermediary of,,,,Panama Papers
215875,34295,intermediary_of,intermediary of,,,,Panama Papers
214494,33926,intermediary_of,intermediary of,,,,Panama Papers
214687,31771,intermediary_of,intermediary of,,,,Panama Papers
228590,32248,intermediary_of,intermediary of,,,,Panama Papers
219111,32759,intermediary_of,intermediary of,,,,Panama Papers
214687,32334,intermediary_of,intermediary of,,,,Panama Papers
225215,35708,intermediary_of,intermediary of,,,,Panama Papers
214687,34557,intermediary_of,intermediary of,,,,Panama Papers
214687,34564,intermediary_of,intermediary of,,,,Panama Papers
214687,34675,intermediary_of,intermediary of,,,,Panama Papers
216319,30912,intermediary_of,intermediary of,,,,Panama Papers
216156,33916,intermediary_of,intermediary of,,,,Panama Papers
214687,34890,intermediary_of,intermediary of,,,,Panama Papers
216654,34811,intermediary_of,intermediary of,,,,Panama Papers
214687,35694,intermediary_of,intermediary of,,,,Panama Papers
228588,34924,intermediary_of,intermediary of,,,,Panama Papers
214687,35698,intermediary_of,intermediary of,,,,Panama Papers
220649,34850,intermediary_of,intermediary of,,,,Panama Papers
214687,34961,intermediary_of,intermediary of,,,,Panama Papers
214687,34962,intermediary_of,intermediary of,,,,Panama Papers
221940,36361,intermediary_of,intermediary of,,,,Panama Papers
226105,32281,intermediary_of,intermediary of,,,,Panama Papers
221410,32920,intermediary_of,intermediary of,,,,Panama Papers
224902,33120,intermediary_of,intermediary of,,,,Panama Papers
225286,35176,intermediary_of,intermediary of,,,,Panama Papers
216654,36126,intermediary_of,intermediary of,,,,Panama Papers
216654,36138,intermediary_of,intermediary of,,,,Panama Papers
214687,35549,intermediary_of,intermediary of,,,,Panama Papers
214687,35556,intermediary_of,intermediary of,,,,Panama Papers
216156,35592,intermediary_of,intermediary of,,,,Panama Papers
216156,35597,intermediary_of,intermediary of,,,,Panama Papers
225286,34466,intermediary_of,intermediary of,,,,Panama Papers
214687,34475,intermediary_of,intermediary of,,,,Panama Papers
228381,34128,intermediary_of,intermediary of,,,,Panama Papers
222156,34531,intermediary_of,intermediary of,,,,Panama Papers
214494,34577,intermediary_of,intermediary of,,,,Panama Papers
214687,34618,intermediary_of,intermediary of,,,,Panama Papers
222156,34691,intermediary_of,intermediary of,,,,Panama Papers
214687,35153,intermediary_of,intermediary of,,,,Panama Papers
214687,35154,intermediary_of,intermediary of,,,,Panama Papers
214687,35486,intermediary_of,intermediary of,,,,Panama Papers
214687,35458,intermediary_of,intermediary of,,,,Panama Papers
228590,37566,intermediary_of,intermediary of,,,,Panama Papers
216156,36000,intermediary_of,intermediary of,,,,Panama Papers
214687,36558,intermediary_of,intermediary of,,,,Panama Papers
216654,36008,intermediary_of,intermediary of,,,,Panama Papers
215645,33070,intermediary_of,intermediary of,,,,Panama Papers
228590,33271,intermediary_of,intermediary of,,,,Panama Papers
228590,33281,intermediary_of,intermediary of,,,,Panama Papers
214687,33699,intermediary_of,intermediary of,,,,Panama Papers
225286,33712,intermediary_of,intermediary of,,,,Panama Papers
224844,35054,intermediary_of,intermediary of,,,,Panama Papers
216156,35815,intermediary_of,intermediary of,,,,Panama Papers
214687,35869,intermediary_of,intermediary of,,,,Panama Papers
227260,35826,intermediary_of,intermediary of,,,,Panama Papers
214687,37236,intermediary_of,intermediary of,,,,Panama Papers
216156,36518,intermediary_of,intermediary of,,,,Panama Papers
222156,36535,intermediary_of,intermediary of,,,,Panama Papers
219111,36597,intermediary_of,intermediary of,,,,Panama Papers
214687,36578,intermediary_of,intermediary of,,,,Panama Papers
214687,38455,intermediary_of,intermediary of,,,,Panama Papers
214687,36076,intermediary_of,intermediary of,,,,Panama Papers
214687,36077,intermediary_of,intermediary of,,,,Panama Papers
214687,36079,intermediary_of,intermediary of,,,,Panama Papers
222156,36233,intermediary_of,intermediary of,,,,Panama Papers
214687,36437,intermediary_of,intermediary of,,,,Panama Papers
222156,36471,intermediary_of,intermediary of,,,,Panama Papers
219781,36702,intermediary_of,intermediary of,,,,Panama Papers
214687,37734,intermediary_of,intermediary of,,,,Panama Papers
228383,37737,intermediary_of,intermediary of,,,,Panama Papers
214687,41788,intermediary_of,intermediary of,,,,Panama Papers
225286,41789,intermediary_of,intermediary of,,,,Panama Papers
216654,36662,intermediary_of,intermediary of,,,,Panama Papers
228383,37117,intermediary_of,intermediary of,,,,Panama Papers
225286,37197,intermediary_of,intermediary of,,,,Panama Papers
228381,37473,intermediary_of,intermediary of,,,,Panama Papers
225286,37204,intermediary_of,intermediary of,,,,Panama Papers
225286,35146,intermediary_of,intermediary of,,,,Panama Papers
214687,38324,intermediary_of,intermediary of,,,,Panama Papers
214687,38380,intermediary_of,intermediary of,,,,Panama Papers
225286,39129,intermediary_of,intermediary of,,,,Panama Papers
225286,36894,intermediary_of,intermediary of,,,,Panama Papers
215645,36959,intermediary_of,intermediary of,,,,Panama Papers
228537,36980,intermediary_of,intermediary of,,,,Panama Papers
214494,37044,intermediary_of,intermediary of,,,,Panama Papers
214687,37579,intermediary_of,intermediary of,,,,Panama Papers
216658,35902,intermediary_of,intermediary of,,,,Panama Papers
214687,38871,intermediary_of,intermediary of,,,,Panama Papers
214687,35164,intermediary_of,intermediary of,,,,Panama Papers
214687,35433,intermediary_of,intermediary of,,,,Panama Papers
216156,35507,intermediary_of,intermediary of,,,,Panama Papers
214687,36387,intermediary_of,intermediary of,,,,Panama Papers
214687,36091,intermediary_of,intermediary of,,,,Panama Papers
217055,36324,intermediary_of,intermediary of,,,,Panama Papers
214687,36866,intermediary_of,intermediary of,,,,Panama Papers
214687,45789,intermediary_of,intermediary of,,,,Panama Papers
214687,48208,intermediary_of,intermediary of,,,,Panama Papers
214687,48401,intermediary_of,intermediary of,,,,Panama Papers
214687,49406,intermediary_of,intermediary of,,,,Panama Papers
214687,38487,intermediary_of,intermediary of,,,,Panama Papers
214687,38815,intermediary_of,intermediary of,,,,Panama Papers
221410,40696,intermediary_of,intermediary of,,,,Panama Papers
214687,37580,intermediary_of,intermediary of,,,,Panama Papers
227260,38595,intermediary_of,intermediary of,,,,Panama Papers
225985,39909,intermediary_of,intermediary of,,,,Panama Papers
215645,39788,intermediary_of,intermediary of,,,,Panama Papers
214687,39853,intermediary_of,intermediary of,,,,Panama Papers
215645,40011,intermediary_of,intermediary of,,,,Panama Papers
214687,39940,intermediary_of,intermediary of,,,,Panama Papers
216319,39979,intermediary_of,intermediary of,,,,Panama Papers
214687,40495,intermediary_of,intermediary of,,,,Panama Papers
216156,36411,intermediary_of,intermediary of,,,,Panama Papers
228590,36438,intermediary_of,intermediary of,,,,Panama Papers
225286,36505,intermediary_of,intermediary of,,,,Panama Papers
214687,36716,intermediary_of,intermediary of,,,,Panama Papers
228383,38724,intermediary_of,intermediary of,,,,Panama Papers
216658,39239,intermediary_of,intermediary of,,,,Panama Papers
228590,49431,intermediary_of,intermediary of,,,,Panama Papers
214687,49963,intermediary_of,intermediary of,,,,Panama Papers
216156,50594,intermediary_of,intermediary of,,,,Panama Papers
214687,50016,intermediary_of,intermediary of,,,,Panama Papers
214687,39605,intermediary_of,intermediary of,,,,Panama Papers
225286,40001,intermediary_of,intermediary of,,,,Panama Papers
216036,40106,intermediary_of,intermediary of,,,,Panama Papers
214687,40055,intermediary_of,intermediary of,,,,Panama Papers
220649,41046,intermediary_of,intermediary of,,,,Panama Papers
228537,41449,intermediary_of,intermediary of,,,,Panama Papers
226056,40512,intermediary_of,intermediary of,,,,Panama Papers
215046,40884,intermediary_of,intermediary of,,,,Panama Papers
216654,40446,intermediary_of,intermediary of,,,,Panama Papers
214687,37169,intermediary_of,intermediary of,,,,Panama Papers
216156,37287,intermediary_of,intermediary of,,,,Panama Papers
214687,37785,intermediary_of,intermediary of,,,,Panama Papers
214687,37786,intermediary_of,intermediary of,,,,Panama Papers
214687,37787,intermediary_of,intermediary of,,,,Panama Papers
222156,37860,intermediary_of,intermediary of,,,,Panama Papers
214687,37894,intermediary_of,intermediary of,,,,Panama Papers
216156,36240,intermediary_of,intermediary of,,,,Panama Papers
214687,36879,intermediary_of,intermediary of,,,,Panama Papers
214494,37275,intermediary_of,intermediary of,,,,Panama Papers
228590,37336,intermediary_of,intermediary of,,,,Panama Papers
226891,37342,intermediary_of,intermediary of,,,,Panama Papers
225987,41544,intermediary_of,intermediary of,,,,Panama Papers
216654,41549,intermediary_of,intermediary of,,,,Panama Papers
214494,41927,intermediary_of,intermediary of,,,,Panama Papers
217732,42097,intermediary_of,intermediary of,,,,Panama Papers
226106,41899,intermediary_of,intermediary of,,,,Panama Papers
214687,40063,intermediary_of,intermediary of,,,,Panama Papers
216156,40382,intermediary_of,intermediary of,,,,Panama Papers
214494,41918,intermediary_of,intermediary of,,,,Panama Papers
214687,41809,intermediary_of,intermediary of,,,,Panama Papers
214494,41922,intermediary_of,intermediary of,,,,Panama Papers
219333,42444,intermediary_of,intermediary of,,,,Panama Papers
214687,43281,intermediary_of,intermediary of,,,,Panama Papers
225286,43283,intermediary_of,intermediary of,,,,Panama Papers
