geonameid,name,country,subcountry,country_code
2239001,N'zeto,Angola,Zaire,AGO
2239076,N’dalatando,Angola,Cuanza Norte,AGO
2239520,Mbanza Kongo,Angola,Zaire,AGO
2239862,Malanje,Angola,Malanje,AGO
2240449,Luanda,Angola,Luanda,AGO
2242001,Caxito,Angola,Bengo,AGO
2243271,Cabinda,Angola,Cabinda,AGO
3346015,Sumbe,Angola,Kwanza Sul,AGO
3347019,Moçâmedes,Angola,Namibe,AGO
3347353,Menongue,Angola,Cuando Cobango,AGO
3347719,Luena,Angola,Moxico,AGO
3347762,Lubango,Angola,Huíla,AGO
3347853,Longonjo,Angola,Huambo,AGO
3347939,Lobito,Angola,Benguela,AGO
3348078,Cuito,Angola,Bíe,AGO
3348313,Huambo,Angola,Huambo,AGO
3350246,Catumbela,Angola,Benguela,AGO
3350372,Catabola,Angola,Bíe,AGO
3351014,Camacupa,Angola,Bíe,AGO
3351500,Caála,Angola,Huambo,AGO
3351663,Benguela,Angola,Benguela,AGO
3427213,Zárate,Argentina,Buenos Aires,ARG
3427327,Wanda,Argentina,Misiones,ARG
3427387,Villa Ortúzar,Argentina,Buenos Aires F.D.,ARG
3427388,Villa Ocampo,Argentina,Santa Fe,ARG
3427408,Villa Lugano,Argentina,Buenos Aires F.D.,ARG
3427428,Villaguay,Argentina,Entre Rios,ARG
3427431,Villa Gesell,Argentina,Buenos Aires,ARG
3427453,Villa de Mayo,Argentina,Buenos Aires,ARG
3427687,Tortuguitas,Argentina,Buenos Aires,ARG
3427761,Tigre,Argentina,Buenos Aires,ARG
3427833,Tandil,Argentina,Buenos Aires,ARG
3428068,San Vicente,Argentina,Misiones,ARG
3428071,Santo Tomé,Argentina,Corrientes,ARG
3428075,Santos Lugares,Argentina,Buenos Aires,ARG
3428359,Santa Elena,Argentina,Entre Rios,ARG
3428576,San Pedro,Argentina,Buenos Aires,ARG
3428577,San Pedro,Argentina,Misiones,ARG
3428708,San Luis del Palmar,Argentina,Corrientes,ARG
3428759,San Lorenzo,Argentina,Corrientes,ARG
3428975,San Javier,Argentina,Santa Fe,ARG
3428992,San Isidro,Argentina,Buenos Aires,ARG
3429403,Saladas,Argentina,Corrientes,ARG
3429576,Retiro,Argentina,Buenos Aires F.D.,ARG
3429577,Resistencia,Argentina,Chaco,ARG
3429594,Reconquista,Argentina,Santa Fe,ARG
3429652,Quilmes,Argentina,Buenos Aires,ARG
3429732,Puerto Rico,Argentina,Misiones,ARG
3429777,Puerto Iguazú,Argentina,Misiones,ARG
3429786,Puerto Esperanza,Argentina,Misiones,ARG
3429790,Puerto Eldorado,Argentina,Misiones,ARG
3429886,Posadas,Argentina,Misiones,ARG
3429902,Pontevedra,Argentina,Buenos Aires,ARG
3429949,Pirané,Argentina,Formosa,ARG
3429980,Pilar,Argentina,Buenos Aires,ARG
3430104,Paso de los Libres,Argentina,Corrientes,ARG
3430340,Oberá,Argentina,Misiones,ARG
3430443,Necochea,Argentina,Buenos Aires,ARG
3430513,Muñiz,Argentina,Buenos Aires,ARG
3430545,Morón,Argentina,Buenos Aires,ARG
3430598,Monte Caseros,Argentina,Corrientes,ARG
3430601,Montecarlo,Argentina,Misiones,ARG
3430697,Merlo,Argentina,Buenos Aires,ARG
3430708,Mercedes,Argentina,Buenos Aires,ARG
3430709,Mercedes,Argentina,Corrientes,ARG
3430863,Mar del Plata,Argentina,Buenos Aires,ARG
3430988,Luján,Argentina,Buenos Aires,ARG
3431057,Los Polvorines,Argentina,Buenos Aires,ARG
3432043,La Plata,Argentina,Buenos Aires,ARG
3432079,La Paz,Argentina,Entre Rios,ARG
3433349,Jardín América,Argentina,Misiones,ARG
3433522,Hurlingham,Argentina,Buenos Aires,ARG
3433658,Gualeguaychú,Argentina,Entre Rios,ARG
3433663,Gualeguay,Argentina,Entre Rios,ARG
3433715,Goya,Argentina,Corrientes,ARG
3433753,Gobernador Virasora,Argentina,Corrientes,ARG
3433787,General Pacheco,Argentina,Buenos Aires,ARG
3433803,General José de San Martín,Argentina,Chaco,ARG
3433836,Garupá,Argentina,Misiones,ARG
3433899,Formosa,Argentina,Formosa,ARG
3433901,Fontana,Argentina,Chaco,ARG
3433956,Federal,Argentina,Entre Rios,ARG
3434095,Esquina,Argentina,Corrientes,ARG
3434291,El Soberbio,Argentina,Misiones,ARG
3435010,Don Torcuato,Argentina,Buenos Aires,ARG
3435038,Dolores,Argentina,Buenos Aires,ARG
3435103,Curuzú Cuatiá,Argentina,Corrientes,ARG
3435217,Corrientes,Argentina,Corrientes,ARG
3435261,Concordia,Argentina,Entre Rios,ARG
3435264,Concepción del Uruguay,Argentina,Entre Rios,ARG
3435356,Colegiales,Argentina,Buenos Aires F.D.,ARG
3435486,Chajarí,Argentina,Entre Rios,ARG
3435810,Campana,Argentina,Buenos Aires,ARG
3435910,Buenos Aires,Argentina,Buenos Aires F.D.,ARG
3436003,Boedo,Argentina,Buenos Aires F.D.,ARG
3436043,Berazategui,Argentina,Buenos Aires,ARG
3436061,Bella Vista,Argentina,Buenos Aires,ARG
3436077,Belgrano,Argentina,Buenos Aires F.D.,ARG
3436124,Barranqueras,Argentina,Chaco,ARG
3436134,Barracas,Argentina,Buenos Aires F.D.,ARG
3436177,Balcarce,Argentina,Buenos Aires,ARG
3436199,Azul,Argentina,Buenos Aires,ARG
3436230,Avellaneda,Argentina,Santa Fe,ARG
3436287,Aristóbulo del Valle,Argentina,Misiones,ARG
3832132,Zapala,Argentina,Neuquen,ARG
3832260,Yerba Buena,Argentina,Tucuman,ARG
3832647,Villa Regina,Argentina,Rio Negro,ARG
3832653,Villa Paula de Sarmiento,Argentina,San Juan,ARG
3832662,Villa Nueva,Argentina,Cordoba,ARG
3832694,Villa María,Argentina,Cordoba,ARG
3832756,Villa Dolores,Argentina,Cordoba,ARG
3832778,Villa Constitución,Argentina,Santa Fe,ARG
3832791,Villa Carlos Paz,Argentina,Cordoba,ARG
3832811,Villa Ángela,Argentina,Chaco,ARG
3832815,Villa Allende,Argentina,Cordoba,ARG
3832899,Viedma,Argentina,Rio Negro,ARG
3832934,Victoria,Argentina,Entre Rios,ARG
3833027,Vera,Argentina,Santa Fe,ARG
3833062,Venado Tuerto,Argentina,Santa Fe,ARG
3833112,Veinticinco de Mayo,Argentina,Buenos Aires,ARG
3833367,Ushuaia,Argentina,Tierra del Fuego,ARG
3833412,Unquillo,Argentina,Cordoba,ARG
3833794,Tres Isletas,Argentina,Chaco,ARG
3833859,Tres Arroyos,Argentina,Buenos Aires,ARG
3833883,Trelew,Argentina,Chubut,ARG
3834502,Termas de Río Hondo,Argentina,Santiago del Estero,ARG
3834601,Tartagal,Argentina,Salta,ARG
3834813,Tafí Viejo,Argentina,Tucuman,ARG
3834971,Sunchales,Argentina,Santa Fe,ARG
3835793,Santo Tomé,Argentina,Santa Fe,ARG
3835869,Santiago del Estero,Argentina,Santiago del Estero,ARG
3835994,Santa Rosa,Argentina,La Pampa,ARG
3836194,Santa Lucía,Argentina,San Juan,ARG
3836277,Santa Fe,Argentina,Santa Fe,ARG
3836564,San Salvador de Jujuy,Argentina,Jujuy,ARG
3836620,San Ramón de la Nueva Orán,Argentina,Salta,ARG
3836669,San Rafael,Argentina,Mendoza,ARG
3836772,San Pedro de Jujuy,Argentina,Jujuy,ARG
3836846,San Nicolás de los Arroyos,Argentina,Buenos Aires,ARG
3836873,San Miguel de Tucumán,Argentina,Tucuman,ARG
3836951,San Martín de los Andes,Argentina,Neuquen,ARG
3836992,San Martín,Argentina,Mendoza,ARG
3837056,San Luis,Argentina,San Luis,ARG
3837124,San Justo,Argentina,Santa Fe,ARG
3837213,San Juan,Argentina,San Juan,ARG
3837240,San José de Jáchal,Argentina,San Juan,ARG
3837441,San Jorge,Argentina,Santa Fe,ARG
3837675,San Francisco,Argentina,Cordoba,ARG
3837702,Catamarca,Argentina,Catamarca,ARG
3837980,San Antonio Oeste,Argentina,Rio Negro,ARG
3838233,Salta,Argentina,Salta,ARG
3838506,Rufino,Argentina,Santa Fe,ARG
3838583,Rosario,Argentina,Santa Fe,ARG
3838793,Río Tercero,Argentina,Cordoba,ARG
3838797,Río Segundo,Argentina,Cordoba,ARG
3838854,Río Grande,Argentina,Tierra del Fuego,ARG
3838859,Río Gallegos,Argentina,Santa Cruz,ARG
3838874,Río Cuarto,Argentina,Cordoba,ARG
3838902,Río Ceballos,Argentina,Cordoba,ARG
3839307,Rawson,Argentina,Chubut,ARG
3839479,Rafaela,Argentina,Santa Fe,ARG
3839490,Quitilipi,Argentina,Chaco,ARG
3839982,Punta Alta,Argentina,Buenos Aires,ARG
3840092,Puerto Madryn,Argentina,Chubut,ARG
3840300,Presidencia Roque Sáenz Peña,Argentina,Chaco,ARG
3840860,Pocito,Argentina,San Juan,ARG
3840885,Plottier,Argentina,Neuquen,ARG
3841490,Pergamino,Argentina,Buenos Aires,ARG
3841500,Pérez,Argentina,Santa Fe,ARG
3841956,Paraná,Argentina,Entre Rios,ARG
3842190,Palpalá,Argentina,Jujuy,ARG
3842670,Olavarría,Argentina,Buenos Aires,ARG
3842881,Nueve de Julio,Argentina,Buenos Aires,ARG
3843123,Neuquén,Argentina,Neuquen,ARG
3843619,Morteros,Argentina,Cordoba,ARG
3843803,Monteros,Argentina,Tucuman,ARG
3844421,Mendoza,Argentina,Mendoza,ARG
3844899,Marcos Juárez,Argentina,Cordoba,ARG
3845330,Machagai,Argentina,Chaco,ARG
3846864,Lincoln,Argentina,Buenos Aires,ARG
3846915,Libertador General San Martín,Argentina,Jujuy,ARG
3848687,Las Breñas,Argentina,Chaco,ARG
3848950,La Rioja,Argentina,La Rioja,ARG
3851331,La Falda,Argentina,Cordoba,ARG
3852374,La Calera,Argentina,Cordoba,ARG
3852468,Laboulaye,Argentina,Cordoba,ARG
3853354,Junín,Argentina,Buenos Aires,ARG
3853491,Joaquín V. González,Argentina,Salta,ARG
3853510,Jesús María,Argentina,Cordoba,ARG
3854895,Granadero Baigorria,Argentina,Santa Fe,ARG
3854985,Gobernador Gálvez,Argentina,Santa Fe,ARG
3855041,General Villegas,Argentina,Buenos Aires,ARG
3855065,General Roca,Argentina,Rio Negro,ARG
3855074,General Pinedo,Argentina,Chaco,ARG
3855075,General Pico,Argentina,La Pampa,ARG
3855116,General Mosconi,Argentina,Salta,ARG
3855244,Gálvez,Argentina,Santa Fe,ARG
