_id,node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
570150,134671,Izar International Limited,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,19-JUL-2001,,,,Active,Portcullis Trustnet,455073,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
602170,167443,Natural Resources Limited,,,SAM,Samoa,Standard International Company,,,17-APR-1998,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,4336/98,WSM,Samoa,Offshore Leaks,The Offshore Leaks data is current through 2010,
630624,200211,Saman International Limited,,,XXX,Undetermined,Standard Company under IBC Act,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,08-MAR-2002,,,01-NOV-2009,Dead,Commonwealth Trust Limited,484308,USA;VGB,United States;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
626586,200214,SYNECHRON HOLDINGS INC.,,,XXX,Undetermined,Standard Company under IBC Act,"Westglobe Corporate Services 2929 Windstone Court Bedford, Texas 76021 U.S.A. RT BVI",,12-MAR-2002,,,,Transferred OUT,Commonwealth Trust Limited,486535,VGB;USA,British Virgin Islands;United States,Offshore Leaks,The Offshore Leaks data is current through 2010,
626154,200218,Milan Technologies Inc.,,,XXX,Undetermined,Standard Company under IBC Act,"International Business Company Formation Inc. 101 Main Street Suite One Tappan, New York  10983 USA RT BVI",,27-FEB-2002,,,01-NOV-2008,Dead,Commonwealth Trust Limited,484831,USA;VGB,United States;British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
570031,134683,Dixima Enterprises Inc.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,09-JUL-2001,,,,Active,Portcullis Trustnet,453203,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
653065,134693,BEST BIO INC.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,11-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,453656,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
653067,134698,JADE RIVER FINANCE LIMITED,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,11-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,453697,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
565024,134704,Everbest Group Holdings Ltd,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,11-JUL-2001,,,,Struck / Defunct / Deregistered,Portcullis Trustnet,453657,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
565025,134705,Linkway Group International Inc.,,,BVI,British Virgin Islands,Standard International Company,"Portcullis TrustNet Chambers P.O. Box 3444 Road Town, Tortola BRITISH VIRGIN ISLANDS",,11-JUL-2001,,,,Active,Portcullis Trustnet,453668,VGB,British Virgin Islands,Offshore Leaks,The Offshore Leaks data is current through 2010,
